datetime,open,high,low,close,volume,InstrumentID,ATR,mvag,Signal,Position,Trade_Price,Cum_PnL
2023-01-09 14:26:00,4021.2,4021.4,4020.0,4021.2,4805895,IF2301,1.8716341305277253,4017.989999999999,0,4,,-60.39999999999782
2023-01-09 14:27:00,4021.2,4021.2,4018.8,4019.0,5248514,IF2301,1.8480524240013438,4018.2199999999984,0,4,,-60.39999999999782
2023-01-09 14:28:00,4019.0,4019.8,4018.6,4019.2,5166136,IF2301,1.8756498028012583,4018.329999999998,0,4,,-60.39999999999782
2023-01-09 14:29:00,4019.6,4020.4,4018.4,4018.6,5226403,IF2301,1.841867312661209,4018.539999999998,0,4,,-60.39999999999782
2023-01-09 14:30:00,4018.4,4019.4,4017.4,4019.0,5197946,IF2301,1.8497739470281487,4018.639999999998,0,4,,-60.39999999999782
2023-01-09 14:31:00,4019.0,4022.0,4019.0,4022.0,5069591,IF2301,1.8572852496767414,4018.649999999998,0,4,,-60.39999999999782
2023-01-09 14:32:00,4022.0,4023.8,4021.8,4023.0,5584984,IF2301,1.9144209871929043,4018.7599999999975,1,5,4023.0,-60.39999999999782
2023-01-09 14:33:00,4022.8,4023.0,4020.2,4020.2,5807956,IF2301,1.918699937833259,4018.9799999999973,0,5,,-60.39999999999782
2023-01-09 14:34:00,4020.4,4022.0,4020.2,4022.0,4988938,IF2301,1.962764940941605,4019.139999999997,0,5,,-60.39999999999782
2023-01-09 14:35:00,4022.0,4023.0,4021.4,4022.6,5146495,IF2301,1.954626693894534,4019.399999999997,0,5,,-60.39999999999782
2023-01-09 14:36:00,4022.4,4023.0,4020.6,4021.2,5411312,IF2301,1.9368953591998028,4019.6599999999976,0,5,,-60.39999999999782
2023-01-09 14:37:00,4021.2,4022.0,4020.8,4021.2,4781311,IF2301,1.9600505912398174,4019.899999999998,0,5,,-60.39999999999782
2023-01-09 14:38:00,4021.2,4021.6,4021.0,4021.2,4487758,IF2301,1.9220480616778175,4020.149999999998,0,5,,-60.39999999999782
2023-01-09 14:39:00,4021.2,4021.2,4020.4,4021.2,5295456,IF2301,1.855945658593922,4020.3699999999976,0,5,,-60.39999999999782
2023-01-09 14:40:00,4021.2,4021.2,4020.2,4020.8,5258193,IF2301,1.8031483756642122,4020.5099999999975,0,5,,-60.39999999999782
2023-01-09 14:41:00,4021.2,4021.2,4018.4,4018.8,5425113,IF2301,1.7629909568810014,4020.6599999999976,0,0,4018.8,-71.79999999999745
2023-01-09 14:42:00,4018.6,4018.8,4016.4,4016.8,6009019,IF2301,1.8148414090369378,4020.6199999999976,-1,-1,4016.8,-71.79999999999745
2023-01-09 14:43:00,4016.4,4017.4,4015.8,4016.8,5229550,IF2301,1.8440993385850954,4020.489999999998,0,-1,,-71.79999999999745
2023-01-09 14:44:00,4016.8,4017.0,4015.6,4015.8,5657494,IF2301,1.8318943716558362,4020.3799999999983,-1,-2,4015.8,-71.79999999999745
2023-01-09 14:45:00,4015.8,4017.4,4015.2,4017.2,6000241,IF2301,1.810299653073049,4020.0699999999983,0,-2,,-71.79999999999745
2023-01-09 14:46:00,4017.2,4017.2,4016.2,4016.6,5765305,IF2301,1.8297846704194103,4019.889999999998,0,-2,,-71.79999999999745
